ID,Label
EGAN,EGAN
APY,APY
GWW,GWW
PTSI,PTSI
MIC,MIC
UBNT,UBNT
CLRB,CLRB
CPRX,CPRX
PLCE,PLCE
RUBY,RUBY
GRPN,GRPN
HPE,HPE
BRKL,BRKL
CY,CY
VZ,VZ
NP,NP
VC,VC
TRUP,TRUP
GWR,GWR
ENS,ENS
AVP,AVP
TENX,TENX
TTD,TTD
PING,PING
CYTX,CYTX
ARTW,ARTW
SNAP,SNAP
CLVS,CLVS
TCCO,TCCO
GNK,GNK
PVH,PVH
PVTL,PVTL
AWSM,AWSM
TDG,TDG
EPAM,EPAM
CYCC,CYCC
NSIT,NSIT
LPX,LPX
PVT,PVT
VST,VST
TCF,TCF
TREX,TREX
SNPS,SNPS
AXTI,AXTI
SPB,SPB
CLX,CLX
JCS,JCS
PTLA,PTLA
VAC,VAC
SBUX,SBUX
LEGH,LEGH
CADE,CADE
AEE,AEE
SBSI,SBSI
VNDA,VNDA
BID,BID
CTVA,CTVA
MS,MS
JELD,JELD
CXO,CXO
ALGT,ALGT
XOMA,XOMA
QRTEA,QRTEA
APTX,APTX
GS,GS
CMC,CMC
KALU,KALU
AMAG,AMAG
DCPH,DCPH
RL,RL
DERM,DERM
HIG,HIG
CCK,CCK
MMSI,MMSI
URBN,URBN
FNSR,FNSR
CWH,CWH
RTN,RTN
QLYS,QLYS
UBCP,UBCP
INCY,INCY
QRVO,QRVO
RF,RF
QTRX,QTRX
AGE,AGE
ETFC,ETFC
STAF,STAF
DBD,DBD
CLIR,CLIR
DGLY,DGLY
MKC,MKC
VMW,VMW
CAR,CAR
FHN,FHN
MAXR,MAXR
XNCR,XNCR
XON,XON
RTRX,RTRX
LYV,LYV
PDSB,PDSB
OAS,OAS
GPOR,GPOR
CRWD,CRWD
WAL,WAL
SPRT,SPRT
DAL,DAL
CLD,CLD
QRHC,QRHC
CENT,CENT
SRDX,SRDX
HGV,HGV
MOH,MOH
CMG,CMG
STML,STML
MYO,MYO
BKYI,BKYI
MAN,MAN
CHNG,CHNG
HOLX,HOLX
BJ,BJ
DIOD,DIOD
BKD,BKD
TGT,TGT
CECO,CECO
WAT,WAT
IPI,IPI
DEST,DEST
SYN,SYN
BWMC,BWMC
SAM,SAM
FLIR,FLIR
TYPE,TYPE
CMS,CMS
APD,APD
MGTA,MGTA
JBT,JBT
WRB,WRB
HNRG,HNRG
NKE,NKE
ORLY,ORLY
WWW,WWW
HROW,HROW
FIZZ,FIZZ
BIO,BIO
BLDR,BLDR
ZBH,ZBH
XYL,XYL
AIG,AIG
LFVN,LFVN
BTU,BTU
PEN,PEN
ADMP,ADMP
THS,THS
MB,MB
JOUT,JOUT
AROC,AROC
APO,APO
CSSE,CSSE
ROAD,ROAD
INT,INT
QTWO,QTWO
CNDT,CNDT
CVM,CVM
SAFM,SAFM
SIX,SIX
ROG,ROG
FET,FET
MRKR,MRKR
WSM,WSM
DTE,DTE
WTI,WTI
GPC,GPC
WGO,WGO
HDSN,HDSN
BLIN,BLIN
AM,AM
SLGN,SLGN
PINS,PINS
PAYX,PAYX
LRN,LRN
WW,WW
SNNA,SNNA
LULU,LULU
APC,APC
MCK,MCK
FNF,FNF
XLRN,XLRN
CSS,CSS
THO,THO
RMD,RMD
AEP,AEP
AQUA,AQUA
VIVO,VIVO
BAC,BAC
NI,NI
UTX,UTX
CNNE,CNNE
ROL,ROL
ARC,ARC
LH,LH
BBBY,BBBY
GVA,GVA
WTRH,WTRH
LL,LL
MEET,MEET
LMPX,LMPX
TEX,TEX
CVS,CVS
HRL,HRL
RIGL,RIGL
SIVB,SIVB
GVP,GVP
CNP,CNP
LLY,LLY
RES,RES
ENTG,ENTG
MEDP,MEDP
VRML,VRML
MARK,MARK
HCA,HCA
CMD,CMD
RDFN,RDFN
WORK,WORK
PBCT,PBCT
TAP,TAP
LKQ,LKQ
MDLZ,MDLZ
NEWR,NEWR
CALM,CALM
CROX,CROX
INSE,INSE
CDW,CDW
XENT,XENT
SKX,SKX
SAEX,SAEX
SN,SN
RVNC,RVNC
ZIOP,ZIOP
CUO,CUO
KNX,KNX
GSKY,GSKY
SWCH,SWCH
CBS,CBS
SON,SON
ALLK,ALLK
DLX,DLX
AL,AL
VTGN,VTGN
DCI,DCI
TLYS,TLYS
IMGN,IMGN
CSBR,CSBR
NEM,NEM
HL,HL
V,V
MRO,MRO
HRB,HRB
VMC,VMC
HOG,HOG
AAC,AAC
SPCE,SPCE
RARX,RARX
TA,TA
CVX,CVX
CERN,CERN
MDU,MDU
H,H
UTHR,UTHR
TMUS,TMUS
TPH,TPH
SYBT,SYBT
EMCF,EMCF
CNSP,CNSP
DHI,DHI
ESTE,ESTE
