Source,Target,Weight
BAC,AAL,9422
UPST,AAL,343
UPS,AAL,407
AFRM,AAL,616
ABNB,AAL,1280
FUBO,AAL,3693
X,AAL,762
FCX,AAL,1182
BA,AAL,20384
SNOW,AAL,272
AXP,AAL,482
MULN,AAL,7769
DWAC,AAL,12315
MRNA,AAL,9912
INO,AAL,20022
JAKK,AAL,1648
TWLO,AAL,4209
HTZ,AAL,6737
PEP,AAL,290
UAVS,AAL,1703
WISH,AAL,5702
SBUX,AAL,1731
W,AAL,948
BK,AAL,1627
TSLA,AAL,54591
WFC,AAL,993
CHWY,AAL,2881
MO,AAL,83
IBIO,AAL,2683
ADBE,AAL,998
A,AAL,344
T,AAL,6256
QCOM,AAL,430
WKHS,AAL,6105
GNUS,AAL,5955
V,AAL,462
ORCL,AAL,418
CVNA,AAL,5261
UBER,AAL,7716
KSS,AAL,3344
MARK,AAL,1384
NKE,AAL,2414
NKLA,AAL,15203
M,AAL,1016
F,AAL,13394
NOW,AAL,92
CVS,AAL,207
UAL,AAL,25497
TRIP,AAL,2668
NBY,AAL,5
JPM,AAL,2068
INTC,AAL,2912
MSFT,AAL,18893
JNJ,AAL,2837
TLRY,AAL,4505
NOVN,AAL,734
RIVN,AAL,2884
FCEL,AAL,4315
TWTR,AAL,19780
HOOD,AAL,5331
CLOV,AAL,3116
FSR,AAL,1671
NET,AAL,1379
C,AAL,3719
INPX,AAL,244
AMGN,AAL,96
JAGX,AAL,2440
LLY,AAL,84
OCGN,AAL,228
PTON,AAL,7351
LULU,AAL,1354
AYRO,AAL,3370
MRK,AAL,1388
LMND,AAL,45
OSTK,AAL,6030
MSTR,AAL,136
ETSY,AAL,127
MGM,AAL,8280
TDOC,AAL,1480
GME,AAL,9719
OXY,AAL,7956
IBM,AAL,1533
GS,AAL,3232
CMG,AAL,1307
ENPH,AAL,133
MMM,AAL,80
TXN,AAL,65
LYFT,AAL,925
DDOG,AAL,81
LUV,AAL,17423
PLUG,AAL,8673
AMD,AAL,25856
BBBY,AAL,4755
SNX,AAL,19
VXRT,AAL,3281
ABBV,AAL,1040
MELI,AAL,2380
BBIG,AAL,7432
AAPL,AAL,49841
FDX,AAL,1241
LMT,AAL,1731
WYNN,AAL,5594
ROKU,AAL,7904
GOOGL,AAL,5589
HD,AAL,3460
PG,AAL,1160
ES,AAL,3377
DKNG,AAL,17000
DGLY,AAL,815
HYMC,AAL,1389
NVAX,AAL,6224
BYND,AAL,6710
BYFC,AAL,2539
DYNT,AAL,3025
COIN,AAL,608
PLTR,AAL,1976
GILD,AAL,2030
DOCU,AAL,349
CAT,AAL,124
GMBL,AAL,769
META,AAL,29492
GEVO,AAL,2104
NVDA,AAL,14581
TNXP,AAL,87
DLTR,AAL,50
AVGO,AAL,92
CRWD,AAL,425
PHUN,AAL,82
BOXL,AAL,3069
XOM,AAL,5630
ATER,AAL,2911
KO,AAL,675
DOW,AAL,1454
WMT,AAL,6023
OGN,AAL,14
PINS,AAL,1845
CRM,AAL,1002
ZNGA,AAL,3477
XELA,AAL,132
VZ,AAL,1309
EBAY,AAL,90
COST,AAL,2430
GE,AAL,6544
ZM,AAL,4133
PENN,AAL,19527
SNAP,AAL,10128
MS,AAL,860
MU,AAL,1939
EA,AAL,72
SOLO,AAL,686
BIOC,AAL,1073
MA,AAL,168
AA,AAL,2700
UNH,AAL,494
LCID,AAL,14143
NFLX,AAL,18608
CVX,AAL,484
TTD,AAL,41
MRO,AAL,217
AMC,AAL,16011
CSCO,AAL,1647
LOW,AAL,55
SOFI,AAL,10067
STEM,AAL,9471
RIVN,AAPL,11558
CHWY,AAPL,5668
ON,AAPL,735
DWAC,AAPL,14759
F,AAPL,44951
UAVS,AAPL,2423
NVAX,AAPL,10726
LYFT,AAPL,3990
ATVI,AAPL,6049
A,AAPL,5159
QCOM,AAPL,8587
CVNA,AAPL,6058
TGT,AAPL,7127
NOVN,AAPL,4329
BIOC,AAPL,3195
BNGO,AAPL,8067
EA,AAPL,4342
INO,AAPL,28284
ENPH,AAPL,2535
GM,AAPL,18149
MELI,AAPL,4695
COP,AAPL,2833
ESE,AAPL,5445
MRO,AAPL,2215
MCD,AAPL,12589
NET,AAPL,4054
CLOV,AAPL,2421
SOLO,AAPL,7207
COIN,AAPL,14375
JAKK,AAPL,3777
GS,AAPL,18943
BOXL,AAPL,15494
AMD,AAPL,135545
U,AAPL,2155
WKHS,AAPL,10671
FUBO,AAPL,5627
WYNN,AAPL,3814
NOW,AAPL,4645
MULN,AAPL,15231
IBIO,AAPL,4959
AMC,AAPL,125055
PINS,AAPL,7230
JPM,AAPL,28126
OCGN,AAPL,4321
DGLY,AAPL,4452
DAL,AAPL,32098
MSFT,AAPL,227241
WBA,AAPL,2658
CSCO,AAPL,8535
TLRY,AAPL,17770
FSR,AAPL,7761
MRNA,AAPL,22512
MU,AAPL,13452
SPCE,AAPL,14921
AAL,AAPL,46074
NKLA,AAPL,30837
UPST,AAPL,7362
KODK,AAPL,12986
SRNE,AAPL,6103
SCHW,AAPL,1033
CAT,AAPL,6472
T,AAPL,15543
ABBV,AAPL,5259
SNX,AAPL,629
MO,AAPL,2502
AVGO,AAPL,4066
BBIG,AAPL,13292
APT,AAPL,2524
ORCL,AAPL,4236
RBLX,AAPL,6535
PHUN,AAPL,1922
GE,AAPL,13307
HD,AAPL,20374
DDOG,AAPL,2243
BBBY,AAPL,10477
LULU,AAPL,2965
INTC,AAPL,35291
HOOD,AAPL,6846
BAC,AAPL,25106
UAL,AAPL,14734
PEP,AAPL,5326
KSS,AAPL,3490
GMBL,AAPL,3086
CZR,AAPL,9586
SNOW,AAPL,5339
HYMC,AAPL,1100
WISH,AAPL,4640
MARK,AAPL,5871
BIOL,AAPL,1956
HAL,AAPL,3371
UBER,AAPL,12126
PTON,AAPL,16090
DLTR,AAPL,718
FCX,AAPL,2773
ATER,AAPL,3272
GILD,AAPL,3499
SBUX,AAPL,8101
OXY,AAPL,16394
XELA,AAPL,1340
JBLU,AAPL,7922
DKNG,AAPL,24581
W,AAPL,4767
AFRM,AAPL,8099
DOW,AAPL,10976
LLY,AAPL,1482
META,AAPL,191924
TDOC,AAPL,4720
VZ,AAPL,7014
TWTR,AAPL,55546
ES,AAPL,18119
C,AAPL,16287
OGN,AAPL,385
ABNB,AAPL,6093
NKE,AAPL,14140
ETSY,AAPL,2351
LMND,AAPL,2429
PG,AAPL,5620
GME,AAPL,82516
NVDA,AAPL,142546
CRWD,AAPL,4262
XOM,AAPL,19979
INPX,AAPL,1771
MGM,AAPL,11782
GNUS,AAPL,9560
TWLO,AAPL,5733
FCEL,AAPL,7386
NBY,AAPL,3002
PLTR,AAPL,22933
COST,AAPL,15159
AXP,AAPL,4802
GOOGL,AAPL,178488
DOCU,AAPL,2818
DVN,AAPL,1330
VXRT,AAPL,3229
BYND,AAPL,15538
XSPA,AAPL,3907
GEVO,AAPL,3794
LOW,AAPL,2062
V,AAPL,20719
TRIP,AAPL,3911
ADBE,AAPL,17376
CEI,AAPL,8419
EBAY,AAPL,12299
CEMI,AAPL,6395
TXN,AAPL,2341
OSTK,AAPL,5569
MRK,AAPL,5368
TNXP,AAPL,480
CLF,AAPL,2803
ZM,AAPL,14715
AMGN,AAPL,3387
NFLX,AAPL,120957
IBM,AAPL,11700
PYPL,AAPL,29800
AYRO,AAPL,14847
MMM,AAPL,6043
DIS,AAPL,33818
UNH,AAPL,6283
RIOT,AAPL,10324
WFC,AAPL,10090
LMT,AAPL,3255
STEM,AAPL,6418
JAGX,AAPL,9971
BK,AAPL,562
MA,AAPL,9654
MSTR,AAPL,3920
SOFI,AAPL,12666
PLUG,AAPL,9166
CVX,AAPL,9119
UPS,AAPL,4793
SQ,AAPL,30064
BRK,AAPL,9260
AA,AAPL,3872
TSLA,AAPL,436100
LCID,AAPL,28862
DYNT,AAPL,5104
LUV,AAPL,10758
M,AAPL,11394
ROKU,AAPL,47338
CMG,AAPL,6229
JNJ,AAPL,13697
PENN,AAPL,21562
X,AAPL,2460
BMY,AAPL,1088
AMZN,AAPL,292587
PFE,AAPL,11111
CMCSA,AAPL,4376
CVS,AAPL,5313
BA,AAPL,63792
CRM,AAPL,17741
ZNGA,AAPL,5189
BYFC,AAPL,9773
KO,AAPL,16446
HTZ,AAPL,8457
TTD,AAPL,2409
WMT,AAPL,27839
FDX,AAPL,4972
MS,AAPL,5892
SNAP,AAPL,25075
SPCE,ABBV,182
MULN,ABBV,103
BK,ABBV,58
SQ,ABBV,557
GE,ABBV,3426
WBA,ABBV,242
MELI,ABBV,52
W,ABBV,535
BMY,ABBV,3720
GME,ABBV,204
CLOV,ABBV,11
OGN,ABBV,37
F,ABBV,3759
INTC,ABBV,1696
HTZ,ABBV,227
MRO,ABBV,68
ETSY,ABBV,183
MARK,ABBV,212
MGM,ABBV,539
XELA,ABBV,5
ROKU,ABBV,569
TLRY,ABBV,138
QCOM,ABBV,2052
BNGO,ABBV,35
PG,ABBV,2329
V,ABBV,1855
UBER,ABBV,866
NKLA,ABBV,25
DVN,ABBV,158
COIN,ABBV,99
AA,ABBV,577
CMG,ABBV,2389
AMZN,ABBV,6193
U,ABBV,218
FCEL,ABBV,174
CRWD,ABBV,193
AFRM,ABBV,106
AVGO,ABBV,853
INPX,ABBV,1
BAC,ABBV,2424
PLUG,ABBV,63
LOW,ABBV,1209
MS,ABBV,2549
INO,ABBV,16
HD,ABBV,2195
DWAC,ABBV,206
NET,ABBV,40
LYFT,ABBV,352
RIVN,ABBV,67
TGT,ABBV,1667
M,ABBV,146
