Source,Target,Weight
PFE,CAT,500
SRPT,CAT,34
QCOM,CAT,352
CSCO,CMG,45
V,CMG,1034
AMD,CMG,2103
C,CMG,584
BAC,CMG,1020
AMZN,CMG,6001
WFC,CMG,387
GS,CMG,1364
TWTR,CMG,3814
IBM,CMG,1687
GOOGL,CMG,4393
X,CMG,993
PEP,CMG,1084
MRK,CMG,555
FB,CMG,3557
BMY,CMG,153
VZ,CMG,73
BA,CMG,1340
CAT,CMG,955
SBUX,CMG,1176
NVDA,CMG,1720
TSLA,CMG,3368
TGT,CMG,218
GM,CMG,995
MS,CMG,96
MSFT,CMG,2359
GILD,CMG,901
KO,CMG,1618
F,CMG,1394
PCLN,CMG,765
PFE,CMG,186
MU,CMG,411
AMGN,CMG,414
QCOM,CMG,98
T,CMG,1446
DIS,CMG,1081
NFLX,CMG,3620
M,CMG,252
HD,CMG,303
SRPT,CMG,117
WMT,CMG,160
JNJ,CMG,630
AAPL,CMG,3703
XOM,CMG,519
INTC,CMG,1262
SNAP,CMG,1025
MCD,CMG,3017
JPM,CMG,650
GE,CMG,652
BAC,CSCO,1787
JNJ,CSCO,803
AMD,CSCO,2251
BA,CSCO,1357
NVDA,CSCO,2230
NFLX,CSCO,4278
WMT,CSCO,1703
GOOGL,CSCO,1905
WFC,CSCO,195
DIS,CSCO,1254
AMGN,CSCO,358
IBM,CSCO,2136
JPM,CSCO,2051
PCLN,CSCO,3537
INTC,CSCO,4249
KO,CSCO,529
TWTR,CSCO,326
HD,CSCO,1166
SNAP,CSCO,3755
GS,CSCO,1480
V,CSCO,610
VZ,CSCO,1301
PFE,CSCO,1612
AMZN,CSCO,5480
MRK,CSCO,1459
MCD,CSCO,578
X,CSCO,80
SRPT,CSCO,13
XOM,CSCO,654
GE,CSCO,1670
PEP,CSCO,464
MU,CSCO,1486
CMG,CSCO,41
SBUX,CSCO,263
TSLA,CSCO,681
C,CSCO,1438
AAPL,CSCO,4269
BMY,CSCO,958
GM,CSCO,348
TGT,CSCO,1220
F,CSCO,968
GILD,CSCO,571
CAT,CSCO,1094
FB,CSCO,1426
T,CSCO,584
MSFT,CSCO,4712
MS,CSCO,54
QCOM,CSCO,1255
M,CSCO,129
WFC,DIS,873
AMD,DIS,574
MS,DIS,254
AAPL,DIS,7847
JNJ,DIS,1412
SRPT,DIS,43
F,DIS,1066
QCOM,DIS,549
NFLX,DIS,13222
MU,DIS,451
GS,DIS,1705
XOM,DIS,990
TWTR,DIS,3870
MSFT,DIS,2810
PFE,DIS,949
M,DIS,1080
KO,DIS,1194
TSLA,DIS,4912
PCLN,DIS,5128
IBM,DIS,2081
AMGN,DIS,435
V,DIS,886
AMZN,DIS,11756
MRK,DIS,954
NVDA,DIS,3491
X,DIS,217
GM,DIS,878
MCD,DIS,1036
C,DIS,1030
GE,DIS,1536
INTC,DIS,2070
WMT,DIS,1486
PEP,DIS,836
T,DIS,1334
CSCO,DIS,4745
SNAP,DIS,7658
TGT,DIS,707
CMG,DIS,1089
SBUX,DIS,2958
GILD,DIS,1032
BAC,DIS,1333
CAT,DIS,1840
HD,DIS,1171
BMY,DIS,588
GOOGL,DIS,4393
JPM,DIS,1864
BA,DIS,1482
VZ,DIS,1737
FB,DIS,5930
BAC,F,2618
CMG,F,1456
PCLN,F,92
M,F,385
FB,F,3888
CAT,F,939
PFE,F,1044
HD,F,192
MS,F,268
CSCO,F,681
WMT,F,388
GS,F,921
INTC,F,2188
DIS,F,1108
MU,F,772
VZ,F,664
MSFT,F,2665
SBUX,F,908
X,F,1224
BMY,F,448
TSLA,F,13926
SRPT,F,85
T,F,2042
NVDA,F,1588
AMGN,F,251
AMZN,F,4045
SNAP,F,1189
GE,F,2399
AMD,F,2755
MCD,F,1195
C,F,1168
NFLX,F,1385
GOOGL,F,4338
AAPL,F,22729
JPM,F,704
JNJ,F,788
GM,F,18428
PEP,F,714
KO,F,1552
IBM,F,1404
MRK,F,261
BA,F,1628
QCOM,F,590
WFC,F,611
TGT,F,330
TWTR,F,2423
GILD,F,1496
V,F,575
XOM,F,668
V,FB,1830
TWTR,FB,57964
KO,FB,2799
CSCO,FB,1197
BMY,FB,661
WMT,FB,1936
WFC,FB,1541
QCOM,FB,1942
CMG,FB,3170
F,FB,4455
GS,FB,15750
MU,FB,4104
GOOGL,FB,69824
TSLA,FB,33932
X,FB,2085
T,FB,5948
INTC,FB,6549
PFE,FB,1709
PEP,FB,1992
AMD,FB,6629
TGT,FB,959
NFLX,FB,37986
C,FB,4153
JNJ,FB,2951
BAC,FB,7235
MRK,FB,1427
XOM,FB,1849
MS,FB,2052
CAT,FB,1695
BA,FB,2538
AMZN,FB,61650
SBUX,FB,6555
AMGN,FB,6772
GM,FB,3029
SNAP,FB,34525
PCLN,FB,5259
GILD,FB,3760
NVDA,FB,22268
IBM,FB,4179
MCD,FB,1536
VZ,FB,1318
MSFT,FB,22490
HD,FB,1232
AAPL,FB,75863
GE,FB,2855
SRPT,FB,6373
M,FB,863
DIS,FB,5519
JPM,FB,4653
AMGN,GE,211
X,GE,601
BMY,GE,406
JNJ,GE,2688
MSFT,GE,4325
GILD,GE,390
AAPL,GE,6300
M,GE,480
BAC,GE,4039
PEP,GE,1163
INTC,GE,1793
NVDA,GE,1454
BA,GE,2125
CMG,GE,658
GM,GE,2282
AMZN,GE,4856
CSCO,GE,1694
V,GE,1331
WMT,GE,2197
KO,GE,1880
C,GE,1492
NFLX,GE,2380
WFC,GE,1203
GOOGL,GE,3411
FB,GE,3416
AMD,GE,1699
MCD,GE,655
PFE,GE,1185
SBUX,GE,430
TGT,GE,1965
TSLA,GE,2453
F,GE,2294
DIS,GE,1402
CAT,GE,1145
PCLN,GE,156
IBM,GE,3813
HD,GE,813
TWTR,GE,1744
GS,GE,2735
QCOM,GE,1068
SRPT,GE,48
MU,GE,1436
XOM,GE,1925
MRK,GE,982
JPM,GE,2018
SNAP,GE,866
MS,GE,1222
VZ,GE,1962
T,GE,3260
NVDA,GILD,3152
X,GILD,378
SRPT,GILD,719
PFE,GILD,4295
AMZN,GILD,3820
KO,GILD,1347
TWTR,GILD,2190
XOM,GILD,380
MS,GILD,78
WMT,GILD,307
AMGN,GILD,4010
MCD,GILD,757
BMY,GILD,5587
GS,GILD,2223
M,GILD,242
CMG,GILD,902
GM,GILD,1002
MU,GILD,476
BA,GILD,1058
GOOGL,GILD,3875
SBUX,GILD,545
WFC,GILD,294
GE,GILD,408
TGT,GILD,951
C,GILD,300
DIS,GILD,1036
CSCO,GILD,341
NFLX,GILD,1088
JPM,GILD,404
QCOM,GILD,1545
INTC,GILD,1379
T,GILD,771
PEP,GILD,790
BAC,GILD,876
MRK,GILD,6467
AAPL,GILD,5814
MSFT,GILD,1767
F,GILD,1550
PCLN,GILD,150
IBM,GILD,697
HD,GILD,263
JNJ,GILD,6372
AMD,GILD,1486
SNAP,GILD,676
TSLA,GILD,2968
V,GILD,553
CAT,GILD,595
FB,GILD,4511
VZ,GILD,194
AMZN,GM,3049
MS,GM,269
GE,GM,2340
GS,GM,1079
BAC,GM,1166
PFE,GM,519
SRPT,GM,125
BA,GM,1737
BMY,GM,104
CAT,GM,1190
NVDA,GM,1129
AAPL,GM,4555
CSCO,GM,370
KO,GM,1325
GILD,GM,992
SBUX,GM,625
X,GM,652
PCLN,GM,128
GOOGL,GM,3670
V,GM,641
TSLA,GM,18860
INTC,GM,1566
JNJ,GM,503
MSFT,GM,1678
AMGN,GM,338
TGT,GM,259
M,GM,209
XOM,GM,575
F,GM,18670
HD,GM,418
AMD,GM,1260
MCD,GM,1255
JPM,GM,865
SNAP,GM,952
C,GM,573
WFC,GM,484
T,GM,1744
VZ,GM,429
CMG,GM,976
PEP,GM,794
IBM,GM,1299
FB,GM,3247
DIS,GM,806
